region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
EU (London),200,20,15000,117,0.1208,2.9,20.29,88.16
EU (London),200,120,45000,351,0.3735,8.96,62.75,272.65
EU (London),1000,0,2000,234,0.1341,3.22,22.52,97.86
EU (London),1000,10,50000,468,0.5223,12.54,87.75,381.32
EU (London),1000,20,50000,585,0.5298,12.71,89.0,386.74
EU (London),1000,120,50000,680,0.5358,12.86,90.02,391.15
EU (Milan),30,0,60,7,0.0038,0.09,0.64,2.77
EU (Milan),30,10,1800,14,0.0038,0.09,0.64,2.77
EU (Milan),30,20,2250,17,0.0038,0.09,0.64,2.77
EU (Milan),30,120,6750,52,0.0336,0.81,5.64,24.52
EU (Milan),200,0,400,46,0.0253,0.61,4.25,18.48
EU (Milan),200,10,12000,93,0.0968,2.32,16.27,70.68
EU (Milan),200,20,15000,117,0.1207,2.9,20.27,88.08
EU (Milan),200,120,45000,351,0.3733,8.96,62.72,272.52
EU (Milan),1000,0,2000,234,0.1335,3.2,22.42,97.44
EU (Milan),1000,10,50000,468,0.5217,12.52,87.65,380.85
EU (Milan),1000,20,50000,585,0.5291,12.7,88.89,386.25
EU (Milan),1000,120,50000,680,0.5351,12.84,89.9,390.64
EU (Paris),30,0,60,7,0.0038,0.09,0.64,2.78
EU (Paris),30,10,1800,14,0.0038,0.09,0.64,2.78
EU (Paris),30,20,2250,17,0.0038,0.09,0.64,2.78
EU (Paris),30,120,6750,52,0.0336,0.81,5.65,24.53
EU (Paris),200,0,400,46,0.0254,0.61,4.27,18.56
EU (Paris),200,10,12000,93,0.0969,2.33,16.28,70.76
EU (Paris),200,20,15000,117,0.1208,2.9,20.29,88.16
EU (Paris),200,120,45000,351,0.3735,8.96,62.75,272.65
EU (Paris),1000,0,2000,234,0.1341,3.22,22.52,97.86
EU (Paris),1000,10,50000,468,0.5223,12.54,87.75,381.32
EU (Paris),1000,20,50000,585,0.5298,12.71,89.0,386.74
EU (Paris),1000,120,50000,680,0.5358,12.86,90.02,391.15
EU (Stockholm),30,0,60,7,0.0034,0.08,0.58,2.51
EU (Stockholm),30,10,1800,14,0.0034,0.08,0.58,2.51
EU (Stockholm),30,20,2250,17,0.0034,0.08,0.58,2.51
EU (Stockholm),30,120,6750,52,0.0301,0.72,5.06,22.01
